Date,Segment,Region,Deal_Value_Billion,Revenue_Growth_Pct,EBITDA_Margin_Pct,Rule_of_X,Deal_Type
2025-01-09,Medtech,North America,0.026,11.6,8.2,19.8,Take-Private
2025-04-16,Medtech,Asia-Pacific,0.071,8.5,22.4,30.9,Buyout
2025-10-09,Medtech,Europe,0.016,13.1,18.1,31.2,Buyout
2025-01-04,Medtech,Europe,0.107,10.1,8.7,18.8,Take-Private
2025-05-14,Medtech,Asia-Pacific,0.043,10.8,21.7,32.5,Take-Private
2025-08-29,Medtech,North America,0.355,14.6,16.1,30.7,Buyout
2025-06-06,Medtech,North America,0.023,10.7,12.7,23.4,Take-Private
2025-06-20,Medtech,North America,0.068,3.6,13.8,17.3,Sponsor-to-Sponsor
2025-02-18,Medtech,North America,0.016,6.1,13.5,19.6,Carve-out
2025-08-09,Medtech,North America,0.073,11.8,11.5,23.3,Buyout
2025-05-18,Medtech,North America,0.046,5.9,16.9,22.8,Buyout
2025-08-20,HCIT,North America,0.022,22.5,38.2,60.7,Sponsor-to-Sponsor
2025-08-24,HCIT,Asia-Pacific,0.213,13.1,40.7,53.8,Carve-out
2025-07-14,HCIT,North America,0.02,13.4,38.4,51.8,Carve-out
2025-03-08,HCIT,Asia-Pacific,0.186,21.8,44.1,65.9,Sponsor-to-Sponsor
2025-05-29,HCIT,North America,0.006,14.1,35.2,49.3,Take-Private
2025-03-10,HCIT,Europe,0.138,26.8,38.6,65.4,Carve-out
2025-09-13,HCIT,North America,0.324,22.2,33.8,56.0,Buyout
2025-04-04,HCIT,North America,0.034,15.0,41.3,56.2,Take-Private
2025-09-17,HCIT,Europe,0.089,20.0,41.5,61.6,Sponsor-to-Sponsor
2025-07-05,HCIT,North America,0.014,21.2,38.7,59.9,Take-Private
2025-01-31,HCIT,North America,0.087,14.7,52.3,67.0,Carve-out
2025-10-25,HCIT,Europe,0.005,24.7,47.3,72.0,Sponsor-to-Sponsor
2025-06-28,HCIT,Europe,0.283,17.5,40.5,58.0,Carve-out
2025-10-29,HCIT,North America,1.095,22.1,34.6,56.7,Sponsor-to-Sponsor
2025-11-11,HCIT,Europe,0.014,16.9,37.2,54.0,Carve-out
2025-05-25,HCIT,North America,0.064,18.8,39.3,58.1,Carve-out
2025-01-16,HCIT,North America,0.09,23.3,40.1,63.5,Take-Private
2025-10-29,HCIT,North America,1.842,22.0,41.1,63.1,Buyout
2025-05-04,HCIT,Asia-Pacific,0.28,14.7,35.1,49.8,Buyout
2025-05-06,HCIT,Europe,0.147,28.0,48.9,77.0,Sponsor-to-Sponsor
2025-04-02,HCIT,North America,0.074,22.6,33.6,56.1,Take-Private
2025-09-03,HCIT,Europe,0.026,15.7,39.4,55.1,Buyout
2025-07-03,HCIT,Asia-Pacific,0.03,23.0,33.9,56.9,Take-Private
2025-09-29,HCIT,North America,0.098,28.6,39.5,68.1,Take-Private
2025-06-08,HCIT,Europe,0.045,17.6,40.8,58.4,Carve-out
2025-05-07,HCIT,North America,0.042,13.5,38.5,52.1,Take-Private
2025-04-24,HCIT,North America,0.061,11.8,44.4,56.2,Sponsor-to-Sponsor
2025-08-10,HCIT,North America,0.155,26.5,41.2,67.7,Buyout
2025-07-13,HCIT,North America,0.066,16.1,35.8,52.0,Buyout
2025-10-25,HCIT,Europe,0.442,17.4,41.2,58.5,Sponsor-to-Sponsor
2025-01-03,HCIT,North America,1.226,18.5,40.7,59.2,Buyout
2025-03-25,HCIT,North America,0.017,26.6,34.7,61.3,Carve-out
2025-03-22,HCIT,North America,0.064,25.2,34.4,59.5,Sponsor-to-Sponsor
2025-10-05,HCIT,Europe,0.072,6.7,41.5,48.2,Buyout
2025-01-31,HCIT,North America,0.02,14.3,43.1,57.3,Take-Private
2025-01-22,HCIT,Asia-Pacific,8.612,14.7,31.2,45.9,Buyout
2025-09-02,HCIT,North America,0.102,20.9,46.0,66.9,Sponsor-to-Sponsor
2025-04-02,HCIT,North America,0.029,15.3,37.0,52.3,Take-Private
2025-06-30,HCIT,Asia-Pacific,1.954,18.3,48.8,67.2,Take-Private
2025-10-24,HCIT,North America,0.049,25.8,40.5,66.4,Carve-out
2025-03-08,HCIT,Europe,0.123,13.1,33.0,46.1,Buyout
2025-10-31,HCIT,North America,0.091,27.3,46.9,74.2,Sponsor-to-Sponsor
2025-09-29,HCIT,Europe,0.344,16.6,35.3,51.9,Take-Private
2025-05-01,HCIT,North America,0.151,23.5,40.0,63.5,Carve-out
2025-11-22,HCIT,Europe,0.002,16.5,44.7,61.2,Sponsor-to-Sponsor
2025-03-24,HCIT,North America,0.136,22.9,46.4,69.3,Take-Private
2025-08-29,HCIT,North America,0.203,24.4,42.1,66.5,Take-Private
2025-09-06,HCIT,North America,0.064,24.5,37.2,61.7,Sponsor-to-Sponsor
2025-06-29,HCIT,Europe,0.124,24.9,43.2,68.1,Buyout
2025-08-24,HCIT,North America,0.045,15.4,36.7,52.1,Take-Private
2025-08-01,HCIT,Asia-Pacific,0.073,15.9,39.9,55.8,Take-Private
2025-11-23,HCIT,Europe,0.042,18.3,47.8,66.0,Take-Private
2025-04-20,HCIT,North America,0.098,27.8,36.4,64.2,Sponsor-to-Sponsor
2025-10-01,HCIT,North America,0.051,21.6,42.8,64.4,Sponsor-to-Sponsor
2025-10-16,HCIT,North America,0.091,26.4,37.5,64.0,Take-Private
2025-04-14,HCIT,North America,0.132,15.9,33.4,49.3,Sponsor-to-Sponsor
2025-09-26,HCIT,North America,0.011,10.6,38.9,49.4,Buyout
2025-06-20,HCIT,North America,0.417,15.4,31.9,47.3,Buyout
2025-01-16,HCIT,Europe,0.078,15.2,37.5,52.7,Buyout
2025-06-19,HCIT,North America,0.057,16.1,38.7,54.8,Take-Private
2025-06-19,HCIT,North America,0.401,23.9,44.1,68.0,Buyout
2025-10-15,HCIT,Asia-Pacific,0.08,13.7,29.5,43.3,Buyout
2025-09-21,HCIT,North America,0.104,17.3,46.9,64.2,Sponsor-to-Sponsor
2025-04-28,HCIT,Asia-Pacific,1.598,19.5,38.8,58.3,Sponsor-to-Sponsor
2025-06-03,HCIT,North America,0.349,19.7,35.8,55.5,Take-Private
2025-01-09,HCIT,North America,1.298,18.5,38.3,56.8,Buyout
2025-05-03,HCIT,North America,0.032,20.3,38.3,58.6,Take-Private
2025-04-23,HCIT,North America,0.078,25.5,38.5,64.0,Carve-out
2025-08-24,HCIT,Asia-Pacific,0.693,21.8,40.3,62.2,Buyout
2025-09-12,HCIT,Asia-Pacific,0.005,18.3,44.4,62.7,Take-Private
2025-01-09,HCIT,North America,0.482,14.5,41.5,56.0,Carve-out
2025-10-23,HCIT,North America,0.013,19.4,42.8,62.2,Take-Private
2025-04-15,HCIT,North America,0.014,25.4,50.3,75.7,Carve-out
2025-01-16,HCIT,Europe,0.017,18.1,42.4,60.5,Sponsor-to-Sponsor
2025-10-14,HCIT,North America,0.005,19.8,41.0,60.9,Carve-out
2025-08-14,HCIT,North America,0.185,28.2,38.1,66.3,Buyout
2025-09-10,HCIT,North America,0.254,28.8,37.8,66.6,Carve-out
2025-05-31,HCIT,North America,0.007,21.7,40.1,61.9,Take-Private
2025-05-22,HCIT,North America,4.395,25.8,46.0,71.8,Buyout
2025-07-05,HCIT,Europe,0.07,17.1,41.9,59.0,Take-Private
2025-04-14,HCIT,Europe,0.046,18.8,42.3,61.1,Take-Private
2025-01-02,HCIT,North America,0.811,18.5,43.8,62.2,Sponsor-to-Sponsor
2025-06-06,HCIT,North America,0.324,28.8,43.5,72.2,Carve-out
2025-04-01,HCIT,North America,0.079,15.5,46.6,62.1,Sponsor-to-Sponsor
2025-10-01,HCIT,Asia-Pacific,0.031,22.1,38.1,60.3,Buyout
2025-09-06,HCIT,North America,0.058,22.6,38.6,61.2,Sponsor-to-Sponsor
2025-07-25,HCIT,Europe,0.097,13.1,33.9,47.1,Buyout
